1	Oxidoreductases
1.1.1.233	N-acylmannosamine 1-dehydrogenase
1.1.1.234	Flavanone 4-reductase
1.1.1.235	8-oxocoformycin reductase
1.1.1.236	Tropinone reductase II
1.1.1.237	Hydroxyphenylpyruvate reductase
1.1.1.238	12-beta-hydroxysteroid dehydrogenase
1.1.1.239	3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))
1.1.1.240	N-acetylhexosamine 1-dehydrogenase
1.1.1.241	6-endo-hydroxycineole dehydrogenase
1.1.1.242	Transferred entry: 1.3.1.69
1.1.1.243	Carveol dehydrogenase
1.1.1.244	Methanol dehydrogenase
1.1.1.245	Cyclohexanol dehydrogenase
1.1.1.246	Transferred entry: 1.1.1.348 and 4.2.1.139
1.1.1.247	Codeinone reductase (NADPH)
1.1.1.248	Salutaridine reductase (NADPH)
1.1.1.249	Transferred entry: 2.5.1.46
1.1.1.250	D-arabinitol 2-dehydrogenase
1.1.1.251	Galactitol-1-phosphate 5-dehydrogenase
1.1.1.252	Tetrahydroxynaphthalene reductase
1.1.1.253	Transferred entry: 1.5.1.33
1.1.1.254	(S)-carnitine 3-dehydrogenase
1.1.1.255	Mannitol dehydrogenase
1.1.1.256	Fluoren-9-ol dehydrogenase
1.1.1.257	4-(hydroxymethyl)benzenesulfonate dehydrogenase
1.1.1.258	6-hydroxyhexanoate dehydrogenase
1.1.1.259	3-hydroxypimeloyl-CoA dehydrogenase
1.1.1.260	Sulcatone reductase
1.1.1.261	sn-glycerol-1-phosphate dehydrogenase
1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
1.1.1.263	1,5-anhydro-D-fructose reductase
1.1.1.264	L-idonate 5-dehydrogenase (NAD(P)(+))
1.1.1.265	3-methylbutanal reductase
1.1.1.266	dTDP-4-dehydro-6-deoxyglucose reductase
1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase
1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase
1.1.1.269	2-(S)-hydroxypropyl-CoM dehydrogenase
1.1.1.270	3-beta-hydroxysteroid 3-dehydrogenase
1.1.1.271	GDP-L-fucose synthase
1.1.1.272	D-2-hydroxyacid dehydrogenase (NADP(+))
1.1.1.273	Vellosimine dehydrogenase
1.1.1.274	2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)
1.1.1.275	(+)-trans-carveol dehydrogenase
1.1.1.276	Serine 3-dehydrogenase (NADP(+))
1.1.1.277	3-beta-hydroxy-5-beta-steroid dehydrogenase
1.1.1.278	3-beta-hydroxy-5-alpha-steroid dehydrogenase
1.1.1.279	(R)-3-hydroxyacid-ester dehydrogenase
1.1.1.280	(S)-3-hydroxyacid-ester dehydrogenase
1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase
1.1.1.282	Quinate/shikimate dehydrogenase
1.1.1.283	Methylglyoxal reductase (NADPH)
1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase
1.1.1.285	3''-deamino-3''-oxonicotianamine reductase
1.1.1.286	Isocitrate--homoisocitrate dehydrogenase
1.1.1.287	D-arabinitol dehydrogenase (NADP(+))
1.1.1.288	Xanthoxin dehydrogenase
1.1.1.289	Sorbose reductase
1.1.1.290	4-phosphoerythronate dehydrogenase
1.1.1.291	2-hydroxymethylglutarate dehydrogenase
1.1.1.292	1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)
1.1.1.293	Deleted entry
1.1.1.294	Chlorophyll(ide) b reductase
1.1.1.295	Momilactone-A synthase
1.1.1.296	Dihydrocarveol dehydrogenase
1.1.1.297	Limonene-1,2-diol dehydrogenase
1.1.1.298	3-hydroxypropionate dehydrogenase (NADP(+))
1.1.1.299	Malate dehydrogenase (NAD(P)(+))
1.1.1.300	NADP-retinol dehydrogenase
1.1.1.301	D-arabitol-phosphate dehydrogenase
1.1.1.302	2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase
1.1.1.303	Diacetyl reductase ((R)-acetoin forming)
1.1.1.304	Diacetyl reductase ((S)-acetoin forming)
1.1.1.305	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase
1.1.1.307	D-xylose reductase
1.1.1.308	Sulfopropanediol 3-dehydrogenase
1.1.1.309	Phosphonoacetaldehyde reductase (NADH)
1.1.1.310	(S)-sulfolactate dehydrogenase
1.1.1.311	(S)-1-phenylethanol dehydrogenase
1.1.1.312	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
1.1.1.313	Sulfoacetaldehyde reductase
1.1.1.314	Germacrene A alcohol dehydrogenase
1.1.1.315	11-cis-retinol dehydrogenase
1.1.1.316	L-galactose 1-dehydrogenase
1.1.1.317	Perakine reductase
1.1.1.318	Eugenol synthase
1.1.1.319	Isoeugenol synthase
1.1.1.320	Benzil reductase ((S)-benzoin forming)
1.1.1.321	Benzil reductase ((R)-benzoin forming)
1.1.1.322	(-)-endo-fenchol dehydrogenase
1.1.1.323	(+)-thujan-3-ol dehydrogenase
1.1.1.324	8-hydroxygeraniol dehydrogenase
1.1.1.325	Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)
1.1.1.326	Zerumbone synthase
1.1.1.327	5-exo-hydroxycamphor dehydrogenase
1.1.1.328	Nicotine blue oxidoreductase
1.1.1.329	2-deoxy-scyllo-inosamine dehydrogenase
1.1.1.330	Very-long-chain 3-oxoacyl-CoA reductase
1.1.1.331	Secoisolariciresinol dehydrogenase
1.1.1.332	Chanoclavine-I dehydrogenase
1.1.1.333	Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
1.1.1.334	Methylecgonone reductase
1.1.1.335	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase
1.1.1.337	L-2-hydroxycarboxylate dehydrogenase (NAD(+))
1.1.1.338	(2R)-3-sulfolactate dehydrogenase (NADP(+))
1.1.1.339	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
1.1.1.340	1-deoxy-11-beta-hydroxypentalenate dehydrogenase
1.1.1.341	CDP-abequose synthase
1.1.1.342	CDP-paratose synthase
1.1.1.343	Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)
1.1.1.344	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(P)(+))
1.1.1.345	D-2-hydroxyacid dehydrogenase (NAD(+))
1.1.1.346	2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)
1.1.1.347	Geraniol dehydrogenase (NAD(+))
1.1.1.348	Vestitone reductase
1.1.1.349	Norsolorinic acid ketoreductase
1.1.1.350	Ureidoglycolate dehydrogenase (NAD(+))
1.1.1.351	Phosphogluconate dehydrogenase (NAD(P)(+)-dependent, decarboxylating)
1.1.1.352	5'-hydroxyaverantin dehydrogenase
1.1.1.353	Versiconal hemiacetal acetate reductase
1.1.1.354	Farnesol dehydrogenase (NAD(+))
1.1.1.355	2'-dehydrokanamycin reductase
1.1.1.356	GDP-L-colitose synthase
1.1.1.357	3-alpha-hydroxysteroid 3-dehydrogenase
1.1.1.358	2-dehydropantolactone reductase
1.1.1.359	Aldose 1-dehydrogenase (NAD(P)(+))
1.1.1.360	Glucose/galactose 1-dehydrogenase
1.1.1.361	Glucose-6-phosphate 3-dehydrogenase
1.1.1.362	Aklaviketone reductase
1.1.1.363	Glucose-6-phosphate dehydrogenase (NAD(P)(+))
1.1.1.364	dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase
1.1.1.365	D-galacturonate reductase
1.1.1.366	L-idonate 5-dehydrogenase (NAD(+))
1.1.1.367	UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase
1.1.1.368	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
1.1.1.369	D-chiro-inositol 1-dehydrogenase
1.1.1.370	Scyllo-inositol 2-dehydrogenase (NAD(+))
1.1.1.371	Scyllo-inositol 2-dehydrogenase (NADP(+))
1.1.1.372	D/L-glyceraldehyde reductase
1.1.1.373	Sulfolactaldehyde 3-reductase
1.1.1.374	UDP-N-acetylglucosamine 3-dehydrogenase
1.1.1.375	L-2-hydroxycarboxylate dehydrogenase (NAD(P)(+))
1.1.1.376	L-arabinose 1-dehydrogenase (NAD(P)(+))
1.1.1.377	L-rhamnose 1-dehydrogenase (NADP(+))
1.1.1.378	L-rhamnose 1-dehydrogenase (NAD(P)(+))
1.1.1.379	(R)-mandelate dehydrogenase
1.1.1.380	L-gulonate 5-dehydrogenase
1.1.1.381	3-hydroxy acid dehydrogenase
1.1.1.382	Ketol-acid reductoisomerase (NAD(+))
1.1.1.383	Ketol-acid reductoisomerase (NAD(P)(+))
1.1.1.384	dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase
1.1.1.385	Dihydroanticapsin 7-dehydrogenase
1.1.1.386	Ipsdienol dehydrogenase
1.1.1.387	L-serine 3-dehydrogenase (NAD(+))
1.1.1.388	Glucose-6-phosphate dehydrogenase (NAD(+))
1.1.1.389	2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase
1.1.1.390	Sulfoquinovose 1-dehydrogenase
1.1.2.1	Transferred entry: 1.1.5.3
1.1.2.2	Mannitol dehydrogenase (cytochrome)
1.1.2.3	L-lactate dehydrogenase (cytochrome)
1.1.2.4	D-lactate dehydrogenase (cytochrome)
1.1.2.5	D-lactate dehydrogenase (cytochrome c-553)
1.1.2.6	Polyvinyl alcohol dehydrogenase (cytochrome)
1.1.2.7	Methanol dehydrogenase (cytochrome c)
1.1.2.8	Alcohol dehydrogenase (cytochrome c)
1.1.3.1	Transferred entry: 1.1.3.15
1.1.3.2	Transferred entry: 1.13.12.4
1.1.3.3	Deleted entry
1.1.3.4	Glucose oxidase
1.1.3.5	Hexose oxidase
1.1.3.6	Cholesterol oxidase
1.1.3.7	Aryl-alcohol oxidase
1.1.3.8	L-gulonolactone oxidase
1.1.3.9	Galactose oxidase
1.1.3.10	Pyranose oxidase
1.1.3.11	L-sorbose oxidase
1.1.3.12	Pyridoxine 4-oxidase
1.1.3.13	Alcohol oxidase
1.1.3.14	Catechol oxidase (dimerizing)
1.1.3.15	(S)-2-hydroxy-acid oxidase
1.1.3.16	Ecdysone oxidase
1.1.3.17	Choline oxidase
1.1.3.18	Secondary-alcohol oxidase
1.1.3.19	4-hydroxymandelate oxidase (decarboxylating)
1.1.3.20	Long-chain-alcohol oxidase
1.1.3.21	Glycerol-3-phosphate oxidase
1.1.3.22	Transferred entry: 1.17.3.2
1.1.3.23	Thiamine oxidase
1.1.3.24	Transferred entry: 1.3.3.12
1.1.3.25	Transferred entry: 1.1.99.18
1.1.3.26	Transferred entry: 1.21.3.2
1.1.3.27	Hydroxyphytanate oxidase
1.1.3.28	Nucleoside oxidase
1.1.3.29	N-acylhexosamine oxidase
1.1.3.30	Polyvinyl-alcohol oxidase
1.1.3.31	Deleted entry
1.1.3.32	Transferred entry: 1.14.21.1
1.1.3.33	Transferred entry: 1.14.21.2
1.1.3.34	Transferred entry: 1.14.21.3
1.1.3.35	Transferred entry: 1.14.21.4
1.1.3.36	Transferred entry: 1.14.21.5
1.1.3.37	D-arabinono-1,4-lactone oxidase
1.1.3.38	Vanillyl-alcohol oxidase
1.1.3.39	Nucleoside oxidase (H(2)O(2)-forming)
1.1.3.40	D-mannitol oxidase
1.1.3.41	Alditol oxidase
1.1.3.42	Prosolanapyrone-II oxidase
1.1.3.43	Paromamine 6'-oxidase
1.1.3.44	6'''-hydroxyneomycin C oxidase
1.1.3.45	Aclacinomycin-N oxidase
1.1.3.46	4-hydroxymandelate oxidase
1.1.3.47	5-(hydroxymethyl)furfural oxidase
1.1.3.48	3-deoxy-alpha-D-manno-octulosonate 8-oxidase
1.1.4.1	Transferred entry: 1.17.4.4
1.1.4.2	Transferred entry: 1.17.4.5
1.1.5.1	Deleted entry
1.1.5.2	Quinoprotein glucose dehydrogenase (PQQ, quinone)
1.1.5.3	Glycerol-3-phosphate dehydrogenase
1.1.5.4	Malate dehydrogenase (quinone)
1.1.5.5	Alcohol dehydrogenase (quinone)
1.1.5.6	Formate dehydrogenase-N
1.1.5.7	Cyclic alcohol dehydrogenase (quinone)
1.1.5.8	Quinate dehydrogenase (quinone)
1.1.5.9	Glucose 1-dehydrogenase (FAD, quinone)
1.1.5.10	D-2-hydroxyacid dehydrogenase (quinone)
1.1.9.1	Alcohol dehydrogenase (azurin)
1.1.98.1	Transferred entry: 1.1.9.1
1.1.98.2	Glucose-6-phosphate dehydrogenase (coenzyme-F420)
1.1.98.3	Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase
1.1.98.4	F420H(2):quinone oxidoreductase
1.1.98.5	Secondary-alcohol dehydrogenase (coenzyme-F420)
1.1.99.1	Choline dehydrogenase
1.1.99.2	L-2-hydroxyglutarate dehydrogenase
1.1.99.3	Gluconate 2-dehydrogenase (acceptor)
1.1.99.4	Dehydrogluconate dehydrogenase
1.1.99.5	Transferred entry: 1.1.5.3
1.1.99.6	D-lactate dehydrogenase (acceptor)
1.1.99.7	Lactate--malate transhydrogenase
1.1.99.8	Transferred entry: 1.1.2.7 and 1.1.2.8
1.1.99.9	Pyridoxine 5-dehydrogenase
1.1.99.10	Transferred entry: 1.1.5.9
1.1.99.11	Fructose 5-dehydrogenase
1.1.99.12	Sorbose dehydrogenase
1.1.99.13	Glucoside 3-dehydrogenase
1.1.99.14	Glycolate dehydrogenase
1.1.99.15	Transferred entry: 1.5.1.20
1.1.99.16	Transferred entry: 1.1.5.4
1.1.99.17	Transferred entry: 1.1.5.2
1.1.99.18	Cellobiose dehydrogenase (acceptor)
1.1.99.19	Transferred entry: 1.17.99.4
1.1.99.20	Alkan-1-ol dehydrogenase (acceptor)
1.1.99.21	D-sorbitol dehydrogenase (acceptor)
1.1.99.22	Glycerol dehydrogenase (acceptor)
1.1.99.23	Transferred entry: 1.1.2.6
1.1.99.24	Hydroxyacid-oxoacid transhydrogenase
1.1.99.25	Transferred entry: 1.1.5.8
1.1.99.26	3-hydroxycyclohexanone dehydrogenase
1.1.99.27	(R)-pantolactone dehydrogenase (flavin)
1.1.99.28	Glucose-fructose oxidoreductase
1.1.99.29	Pyranose dehydrogenase (acceptor)
1.1.99.30	2-oxo-acid reductase
1.1.99.31	(S)-mandelate dehydrogenase
1.1.99.32	L-sorbose 1-dehydrogenase
1.1.99.33	Formate dehydrogenase (acceptor)
1.1.99.34	Transferred entry: 1.1.98.2
1.1.99.35	Soluble quinoprotein glucose dehydrogenase
1.1.99.36	Alcohol dehydrogenase (nicotinoprotein)
1.1.99.37	Methanol dehydrogenase (nicotinoprotein)
1.1.99.38	2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent)
1.1.99.39	D-2-hydroxyglutarate dehydrogenase
1.2.1.1	Transferred entry: 1.1.1.284 and 4.4.1.22
1.2.1.2	Formate dehydrogenase
1.2.1.3	Aldehyde dehydrogenase (NAD(+))
1.2.1.4	Aldehyde dehydrogenase (NADP(+))
1.2.1.5	Aldehyde dehydrogenase (NAD(P)(+))
1.2.1.6	Deleted entry
1.2.1.7	Benzaldehyde dehydrogenase (NADP(+))
1.2.1.8	Betaine-aldehyde dehydrogenase
1.2.1.9	Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))
1.2.1.10	Acetaldehyde dehydrogenase (acetylating)
1.2.1.11	Aspartate-semialdehyde dehydrogenase
1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)
1.2.1.13	Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating)
1.2.1.14	Transferred entry: 1.1.1.205
1.2.1.15	Malonate-semialdehyde dehydrogenase
1.2.1.16	Succinate-semialdehyde dehydrogenase (NAD(P)(+))
1.2.1.17	Glyoxylate dehydrogenase (acylating)
1.2.1.18	Malonate-semialdehyde dehydrogenase (acetylating)
1.2.1.19	Aminobutyraldehyde dehydrogenase
1.2.1.20	Glutarate-semialdehyde dehydrogenase
1.2.1.21	Glycolaldehyde dehydrogenase
1.2.1.22	Lactaldehyde dehydrogenase
1.2.1.23	2-oxoaldehyde dehydrogenase (NAD(+))
1.2.1.24	Succinate-semialdehyde dehydrogenase (NAD(+))
1.2.1.25	2-oxoisovalerate dehydrogenase (acylating)
1.2.1.26	2,5-dioxovalerate dehydrogenase
1.2.1.27	Methylmalonate-semialdehyde dehydrogenase (CoA acylating)
1.2.1.28	Benzaldehyde dehydrogenase (NAD(+))
1.2.1.29	Aryl-aldehyde dehydrogenase
1.2.1.30	Aryl-aldehyde dehydrogenase (NADP(+))
1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase
1.2.1.32	Aminomuconate-semialdehyde dehydrogenase
1.2.1.33	(R)-dehydropantoate dehydrogenase
1.2.1.34	Transferred entry: 1.1.1.131
1.2.1.35	Transferred entry: 1.1.1.203
1.2.1.36	Retinal dehydrogenase
1.2.1.37	Transferred entry: 1.17.1.4
1.2.1.38	N-acetyl-gamma-glutamyl-phosphate reductase
1.2.1.39	Phenylacetaldehyde dehydrogenase
1.2.1.40	Deleted entry
1.2.1.41	Glutamate-5-semialdehyde dehydrogenase
1.2.1.42	Hexadecanal dehydrogenase (acylating)
1.2.1.43	Formate dehydrogenase (NADP(+))
1.2.1.44	Cinnamoyl-CoA reductase
1.2.1.45	Transferred entry: 1.1.1.312
1.2.1.46	Formaldehyde dehydrogenase
1.2.1.47	4-trimethylammoniobutyraldehyde dehydrogenase
1.2.1.48	Long-chain-aldehyde dehydrogenase
1.2.1.49	2-oxoaldehyde dehydrogenase (NADP(+))
1.2.1.50	Long-chain-fatty-acyl-CoA reductase
1.2.1.51	Pyruvate dehydrogenase (NADP(+))
1.2.1.52	Oxoglutarate dehydrogenase (NADP(+))
1.2.1.53	4-hydroxyphenylacetaldehyde dehydrogenase
1.2.1.54	Gamma-guanidinobutyraldehyde dehydrogenase
1.2.1.55	Transferred entry: 1.1.1.279
1.2.1.56	Transferred entry: 1.1.1.280
1.2.1.57	Butanal dehydrogenase
1.2.1.58	Phenylglyoxylate dehydrogenase (acylating)
1.2.1.59	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)
1.2.1.60	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
1.2.1.61	4-hydroxymuconic-semialdehyde dehydrogenase
1.2.1.62	4-formylbenzenesulfonate dehydrogenase
1.2.1.63	6-oxohexanoate dehydrogenase
1.2.1.64	4-hydroxybenzaldehyde dehydrogenase (NAD(+))
1.2.1.65	Salicylaldehyde dehydrogenase
1.2.1.66	Transferred entry: 1.1.1.306
1.2.1.67	Vanillin dehydrogenase
1.2.1.68	Coniferyl-aldehyde dehydrogenase
1.2.1.69	Fluoroacetaldehyde dehydrogenase
1.2.1.70	Glutamyl-tRNA reductase
1.2.1.71	Succinylglutamate-semialdehyde dehydrogenase
1.2.1.72	Erythrose-4-phosphate dehydrogenase
1.2.1.73	Sulfoacetaldehyde dehydrogenase
1.2.1.74	Abieta-7,13-dien-18-al dehydrogenase
1.2.1.75	Malonyl CoA reductase (malonate semialdehyde-forming)
1.2.1.76	Succinate-semialdehyde dehydrogenase (acetylating)
1.2.1.77	3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+))
1.2.1.78	2-formylbenzoate dehydrogenase
1.2.1.79	Succinate-semialdehyde dehydrogenase (NADP(+))
1.2.1.80	Long-chain acyl-[acyl-carrier-protein] reductase
1.2.1.81	Sulfoacetaldehyde dehydrogenase (acylating)
1.2.1.82	Beta-apo-4'-carotenal oxygenase
1.2.1.83	3-succinoylsemialdehyde-pyridine dehydrogenase
1.2.1.84	Alcohol-forming fatty acyl-CoA reductase
1.2.1.85	2-hydroxymuconate-6-semialdehyde dehydrogenase
1.2.1.86	Geranial dehydrogenase
1.2.1.87	Propanal dehydrogenase (CoA-propanoylating)
1.2.1.88	L-glutamate gamma-semialdehyde dehydrogenase
1.2.1.89	D-glyceraldehyde dehydrogenase (NADP(+))
1.2.1.90	Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+))
1.2.1.91	3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase
1.2.1.92	3,6-anhydro-alpha-L-galactose dehydrogenase
1.2.1.93	Formate dehydrogenase (NAD(+), ferredoxin)
1.2.1.94	Farnesal dehydrogenase
1.2.1.95	L-2-aminoadipate reductase
1.2.1.96	4-hydroxybenzaldehyde dehydrogenase (NADP(+))
1.2.1.97	3-sulfolactaldehyde dehydrogenase
1.2.2.1	Formate dehydrogenase (cytochrome)
1.2.2.2	Deleted entry
1.2.2.3	Formate dehydrogenase (cytochrome c-553)
1.2.2.4	Carbon-monoxide dehydrogenase (cytochrome b-561)
1.2.3.1	Aldehyde oxidase
1.2.3.2	Transferred entry: 1.17.3.2
1.2.3.3	Pyruvate oxidase
1.2.3.4	Oxalate oxidase
1.2.3.5	Glyoxylate oxidase
1.2.3.6	Pyruvate oxidase (CoA-acetylating)
1.2.3.7	Indole-3-acetaldehyde oxidase
1.2.3.8	Pyridoxal oxidase
1.2.3.9	Aryl-aldehyde oxidase
1.2.3.10	Deleted entry
1.2.3.11	Transferred entry: 1.2.3.1
1.2.3.12	Transferred entry: 1.14.13.82
1.2.3.13	4-hydroxyphenylpyruvate oxidase
1.2.3.14	Abscisic-aldehyde oxidase
1.2.4.1	Pyruvate dehydrogenase (acetyl-transferring)
1.2.4.2	Oxoglutarate dehydrogenase (succinyl-transferring)
1.2.4.3	Transferred entry: 1.2.4.4
1.2.4.4	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)
1.2.5.1	Pyruvate dehydrogenase (quinone)
1.2.5.2	Aldehyde dehydrogenase (quinone)
1.2.7.1	Pyruvate synthase
1.2.7.2	Deleted entry
1.2.7.3	2-oxoglutarate synthase
1.2.7.4	Carbon-monoxide dehydrogenase (ferredoxin)
1.2.7.5	Aldehyde ferredoxin oxidoreductase
1.2.7.6	Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
1.2.7.7	3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)
1.2.7.8	Indolepyruvate ferredoxin oxidoreductase
1.2.7.9	Transferred entry: 1.2.7.3
1.2.7.10	Oxalate oxidoreductase
1.2.7.11	2-oxoacid oxidoreductase (ferredoxin)
1.2.98.1	Formaldehyde dismutase
1.2.99.1	Transferred entry: 1.17.99.4
1.2.99.2	Carbon-monoxide dehydrogenase (acceptor)
1.2.99.3	Transferred entry: 1.2.5.2
1.2.99.4	Transferred entry: 1.2.98.1
1.2.99.5	Formylmethanofuran dehydrogenase
1.2.99.6	Carboxylate reductase
1.2.99.7	Aldehyde dehydrogenase (FAD-independent)
1.2.99.8	Glyceraldehyde dehydrogenase (FAD-containing)
1.2.99.9	Formate dehydrogenase (coenzyme F420)
1.3.1.1	Dihydrouracil dehydrogenase (NAD(+))
1.3.1.2	Dihydropyrimidine dehydrogenase (NADP(+))
1.3.1.3	Delta(4)-3-oxosteroid 5-beta-reductase
1.3.1.4	Transferred entry: 1.3.1.22
1.3.1.5	Cucurbitacin Delta(23)-reductase
1.3.1.6	Fumarate reductase (NADH)
1.3.1.7	Meso-tartrate dehydrogenase
1.3.1.8	Acyl-CoA dehydrogenase (NADP(+))
1.3.1.9	Enoyl-[acyl-carrier-protein] reductase (NADH)
1.3.1.10	Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)
1.3.1.11	2-coumarate reductase
1.3.1.12	Prephenate dehydrogenase
1.3.1.13	Prephenate dehydrogenase (NADP(+))
1.3.1.14	Dihydroorotate dehydrogenase (NAD(+))
1.3.1.15	Dihydroorotate dehydrogenase (NADP(+))
1.3.1.16	Beta-nitroacrylate reductase
1.3.1.17	3-methyleneoxindole reductase
1.3.1.18	Kynurenate-7,8-dihydrodiol dehydrogenase
1.3.1.19	Cis-1,2-dihydrobenzene-1,2-diol dehydrogenase
1.3.1.20	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase
1.3.1.21	7-dehydrocholesterol reductase
1.3.1.22	3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))
1.3.1.23	Deleted entry
1.3.1.24	Biliverdin reductase
1.3.1.25	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
1.3.1.26	Transferred entry: 1.17.1.8
1.3.1.27	2-hexadecenal reductase
1.3.1.28	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
1.3.1.29	Cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase
1.3.1.30	Transferred entry: 1.3.1.22
1.3.1.31	2-enoate reductase
1.3.1.32	Maleylacetate reductase
1.3.1.33	Protochlorophyllide reductase
1.3.1.34	2,4-dienoyl-CoA reductase (NADPH)
1.3.1.35	Transferred entry: 1.14.19.22
1.3.1.36	Geissoschizine dehydrogenase
1.3.1.37	Cis-2-enoyl-CoA reductase (NADPH)
1.3.1.38	Trans-2-enoyl-CoA reductase (NADPH)
1.3.1.39	Enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific)
1.3.1.40	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate reductase
1.3.1.41	Xanthommatin reductase
1.3.1.42	12-oxophytodienoate reductase
1.3.1.43	Arogenate dehydrogenase
1.3.1.44	Trans-2-enoyl-CoA reductase (NAD(+))
1.3.1.45	2'-hydroxyisoflavone reductase
